lat,lon,year,month,recorded_by,institution,basis,occurrence_id
39.893045,-121.501738,2026,1,Chaye Vail,iNaturalist,HUMAN_OBSERVATION,6130568399
39.014762,-123.350274,2026,1,sstewart3,iNaturalist,HUMAN_OBSERVATION,6133134809
37.030096,-121.795299,2026,1,James Maughn,iNaturalist,HUMAN_OBSERVATION,6133553454
40.045628,-123.693335,2026,1,Floyd E. Hayes,iNaturalist,HUMAN_OBSERVATION,6159534872
41.620449,-124.030468,2026,2,DJ,iNaturalist,HUMAN_OBSERVATION,6147407200
37.508869,-121.737607,2026,2,Shan L,iNaturalist,HUMAN_OBSERVATION,6159395625
37.824278,-122.735036,2025,1,stellerssong,iNaturalist,HUMAN_OBSERVATION,5063474393
39.643487,-123.77692,2025,1,inaughto,iNaturalist,HUMAN_OBSERVATION,6131221839
37.552835,-121.811834,2025,2,Kelly Crumrin,iNaturalist,HUMAN_OBSERVATION,5070068394
38.987924,-122.893032,2025,2,Stop4Snakes!,iNaturalist,HUMAN_OBSERVATION,5077027966
40.261121,-124.388464,2025,2,rangernik707,iNaturalist,HUMAN_OBSERVATION,5077093734
38.247865,-122.474284,2025,2,caseyhemp,iNaturalist,HUMAN_OBSERVATION,5077129848
38.867566,-122.949745,2025,2,Stop4Snakes!,iNaturalist,HUMAN_OBSERVATION,5077129884
37.01213,-121.661141,2025,2,Michael Hawk,iNaturalist,HUMAN_OBSERVATION,5087370061
37.087618,-121.623678,2025,2,Merav Vonshak,iNaturalist,HUMAN_OBSERVATION,5088132120
41.661931,-124.119204,2025,3,Colton Veltkamp,iNaturalist,HUMAN_OBSERVATION,5087465956
38.354815,-122.446667,2025,3,Paul Barnett,iNaturalist,HUMAN_OBSERVATION,5087536971
40.426578,-124.044843,2025,3,chernandez,iNaturalist,HUMAN_OBSERVATION,5087569364
38.440945,-122.318822,2025,3,Megan Saunders,iNaturalist,HUMAN_OBSERVATION,5087698523
40.039276,-123.92555,2025,3,Graham Montgomery,iNaturalist,HUMAN_OBSERVATION,5087700524
41.35073,-124.111279,2025,3,Colton Veltkamp,iNaturalist,HUMAN_OBSERVATION,5087746744
37.97714,-122.603391,2025,3,J. Bagratuni,iNaturalist,HUMAN_OBSERVATION,5087842361
38.760665,-122.536747,2025,3,wonton_soup,iNaturalist,HUMAN_OBSERVATION,5087878039
37.826431,-122.762215,2025,3,J. Bagratuni,iNaturalist,HUMAN_OBSERVATION,5087885437
37.496248,-121.408144,2025,3,Adam Dibley,iNaturalist,HUMAN_OBSERVATION,5088134647
40.703503,-123.933352,2025,3,nothingmajor,iNaturalist,HUMAN_OBSERVATION,5088180568
39.470705,-121.090946,2025,3,Lizzie Fleming,iNaturalist,HUMAN_OBSERVATION,5104497996
37.44661,-121.479945,2025,3,EntomologyWest,iNaturalist,HUMAN_OBSERVATION,5104549518
37.490421,-121.410833,2025,3,EntomologyWest,iNaturalist,HUMAN_OBSERVATION,5104551434
37.551132,-121.407189,2025,3,EntomologyWest,iNaturalist,HUMAN_OBSERVATION,5104619404
41.690193,-123.841797,2025,3,bumblebeetle,iNaturalist,HUMAN_OBSERVATION,5104638110
40.025784,-123.637234,2025,3,Jonny Sperling,iNaturalist,HUMAN_OBSERVATION,5104697488
37.457976,-121.406209,2025,3,Adam Dibley,iNaturalist,HUMAN_OBSERVATION,5104719839
37.997117,-122.71554,2025,3,gosner,iNaturalist,HUMAN_OBSERVATION,5108141560
37.804549,-122.763849,2025,3,GinaGPark,iNaturalist,HUMAN_OBSERVATION,5108204967
38.454588,-122.537968,2025,3,solaurele,iNaturalist,HUMAN_OBSERVATION,5108275814
40.833275,-123.811056,2025,3,danielmhsu,iNaturalist,HUMAN_OBSERVATION,5108290202
